a|\ˈā\
backlists|\ˈbak-ˌlist\
backlit|\-ˌlīt\
backlog|\-ˌlȯg, -ˌläg\
backlogged|\-ˌlȯg, -ˌläg\
backlogging|\-ˌlȯg, -ˌläg\
backlogs|\-ˌlȯg, -ˌläg\
backpack|\ˈbak-ˌpak\
backpacked|\ˈbak-ˌpak\
backpacker|\ˈbak-ˌpak\
backpackers|\ˈbak-ˌpak\
backpacking|\ˈbak-ˌpak\
backpacks|\ˈbak-ˌpak\
backrest|\-ˌrest\
backrests|\-ˌrest\
backs|\ˈbak\
backsaw|\ˈbak-ˌsȯ\
backsaws|\ˈbak-ˌsȯ\
backseat|\-ˈsēt\
backseats|\-ˈsēt\
backside|\-ˌsīd\
backsides|\-ˌsīd\
backslap|\-ˌslap\
backslapper|\-ˌslap\
backslappers|\-ˌslap\
backslapping|\-ˌslap\
backslaps|\-ˌslap\
backslid|\-ˌslīd\
backslidden|\-ˌslīd\
backslide|\-ˌslīd\
backslider|\-ˌslīd\
backsliders|\-ˌslīd\
backslides|\-ˌslīd\
backsliding|\-ˌslīd\
backspace|\-ˌspās\
backspaced|\-ˌspās\
backspaces|\-ˌspās\
backspacing|\-ˌspās\
backspin|\-ˌspin\
backspins|\-ˌspin\
backstage|\ˈbak-ˌstāj\
backstairs|\-ˌsterz\
backstay|\-ˌstā\
backstitching|\-ˌstich\
backstop|\-ˌstäp\
backstops|\-ˌstäp\
backstretch|\ˈbak-ˌstrech\
backstretches|\ˈbak-ˌstrech\
backstroke|\-ˌstrōk\
backstrokes|\-ˌstrōk\
backswept|\-ˌswept\
backtrack|\ˈbak-ˌtrak\
backtracked|\ˈbak-ˌtrak\
backtracking|\ˈbak-ˌtrak\
backtracks|\ˈbak-ˌtrak\
backup|\-ˌəp\
backups|\-ˌəp\
backward|\ˈbak-wərd\
backwardly|\ˈbak-wərd\
backwardness|\ˈbak-wərd\
backwards|\ˈbak-wərd\
backwash|\ˈbak-ˌwȯsh, -ˌwäsh\
backwashes|\ˈbak-ˌwȯsh, -ˌwäsh\
backwater|\-ˌwȯ-tər, -ˌwä-\
backwaters|\-ˌwȯ-tər, -ˌwä-\
backwoods|\-ˈwu̇dz\
backwoodsman|\ˌbak-ˈwu̇dz-mən, ˈbak-ˌ\
backwoodsmen|\ˌbak-ˈwu̇dz-mən, ˈbak-ˌ\
backyard|\-ˈyärd\
backyards|\-ˈyärd\
bacon|\ˈbā-kən sometimes -kəŋ\
bacons|\ˈbā-kən sometimes -kəŋ\
bacteria|\bak-ˈtir-ē-ə\
bacterial|\bak-ˈtir-ē-əl\
bacterially|\bak-ˈtir-ē-əl\
bactericidal|\bak-ˌtir-ə-ˈsī-dəl\
bactericidally|\-əl-ē\
bactericide|\bak-ˌtir-ə-ˈsī-dəl\
bactericides|\bak-ˌtir-ə-ˈsī-dəl\
bacteriocidal|\bak-ˌtir-ə-ˈsī-dəl\
bacteriologic|\(ˌ)bak-ˌtir-ē-ˈä-lə-jē\
bacteriological|\(ˌ)bak-ˌtir-ē-ˈä-lə-jē\
bacteriologically|\(ˌ)bak-ˌtir-ē-ˈä-lə-jē\
bacteriologies|\(ˌ)bak-ˌtir-ē-ˈä-lə-jē\
bacteriologist|\(ˌ)bak-ˌtir-ē-ˈä-lə-jē\
bacteriologists|\(ˌ)bak-ˌtir-ē-ˈä-lə-jē\
bacteriology|\(ˌ)bak-ˌtir-ē-ˈä-lə-jē\
bacteriophage|\bak-ˈtir-ē-ə-ˌfāj also -ˌfäzh\
bacteriophages|\bak-ˈtir-ē-ə-ˌfāj also -ˌfäzh\
bacterium|\bak-ˈtir-ē-əm\
bad|\ˈbad\
baddie|\ˈba-dē\
baddies|\ˈba-dē\
baddy|\ˈba-dē\
badge|\ˈbaj\
badged|\ˈbaj\
badger|\ˈba-jər\
badgered|\ˈba-jər\
badgering|\ˈba-jər\
badgers|\ˈba-jər\
badges|\ˈbaj\
badging|\ˈbaj\
badinage|\ˌba-də-ˈnäzh\
badinages|\ˌba-də-ˈnäzh\
badland|\ˈbad-ˌland\
badlands|\ˈbad-ˌland\
badly|\ˈbad-lē\
badminton|\ˈbad-ˌmi-tən, -ˌmin-tən\
badmouth|\ˈbad-ˌmau̇th, -ˌmau̇th\
badmouthed|\ˈbad-ˌmau̇th, -ˌmau̇th\
badmouthing|\ˈbad-ˌmau̇th, -ˌmau̇th\
badmouths|\ˈbad-ˌmau̇th, -ˌmau̇th\
badness|\ˈbad\
badnesses|\ˈbad\
bads|\ˈbad\
baedeker|\ˈbā-di-kər, ˈbe-\
baedekers|\ˈbā-di-kər, ˈbe-\
baffle|\ˈba-fəl\
baffled|\ˈba-fəl\
bafflement|\ˈba-fəl\
bafflements|\ˈba-fəl\
baffler|\ˈba-fəl\
bafflers|\ˈba-fəl\
baffles|\ˈba-fəl\
baffling|\ˈba-fəl\
bag|\ˈbag also ˈbāg\
bagasse|\bə-ˈgas\
bagatelle|\ˌba-gə-ˈtel\
bagatelles|\ˌba-gə-ˈtel\
bagel|\ˈbā-gəl\
bagels|\ˈbā-gəl\
bagful|\ˈbag-ˌfu̇l\
bagfuls|\ˈbag-ˌfu̇l\
baggage|\ˈba-gij\
baggages|\ˈba-gij\
bagged|\ˈbag also ˈbāg\
baggier|\ˈba-gē\
baggies|\ˈba-gēz\
baggiest|\ˈba-gē\
baggily|\ˈba-gē\
bagginess|\ˈba-gē\
bagging|\ˈba-giŋ\
baggings|\ˈba-giŋ\
baggy|\ˈba-gē\
baghdad|\ˈbag-ˌdad, ˌbäg-ˈdäd\
bagman|\ˈbag-mən\
bagmen|\ˈbag-mən\
bagnio|\ˈban-(ˌ)yō, ˈbän-\
bagnios|\ˈban-(ˌ)yō, ˈbän-\
bagpipe|\ˈbag-ˌpīp\
bagpiper|\ˈbag-ˌpīp\
bagpipers|\ˈbag-ˌpīp\
bagpipes|\ˈbag-ˌpīp\
bags|\ˈbag also ˈbāg\
bagsful|\ˈbag-ˌfu̇l\
baguette|\ba-ˈget\
baguettes|\ba-ˈget\
bagwig|\ˈbag-ˌwig\
bagwigs|\ˈbag-ˌwig\
bagworm|\-ˌwərm\
bagworms|\-ˌwərm\
bah|\ˈbä, ˈba\
bahamas|\bə-ˈhä-məz, by outsiders also -ˈhā-\
bahamian|\bə-ˈhä-məz, by outsiders also -ˈhā-\
baht|\ˈbät\
bahts|\ˈbät\
bail|\ˈbāl\
bailable|\ˈbāl\
bailed|\ˈbāl\
bailee|\bā-ˈlē\
bailer|\ˈbāl\
bailers|\ˈbāl\
bailey|\ˈbā-lē\
baileys|\ˈbā-lē\
bailie|\ˈbā-lē\
bailies|\ˈbā-lē\
bailiff|\ˈbā-ləf\
bailiffs|\ˈbā-ləf\
bailing|\ˈbāl\
bailiwick|\ˈbā-li-ˌwik, -lē-\
bailiwicks|\ˈbā-li-ˌwik, -lē-\
bailment|\ˈbā(ə)l-mənt\
bailor|\bā-ˈlȯr, ˈbā-lər\
bailors|\ˈbāl\
bailout|\ˈbā-ˌlau̇t\
bailouts|\ˈbā-ˌlau̇t\
bails|\ˈbāl\
bailsman|\ˈbālz-mən\
bailsmen|\ˈbālz-mən\
bairn|\ˈbern\
bairns|\ˈbern\
bait|\ˈbāt\
baited|\ˈbāt\
baiter|\ˈbāt\
baiters|\ˈbāt\
baiting|\ˈbāt\
baits|\ˈbāt\
baize|\ˈbāz\
baizes|\ˈbāz\
bake|\ˈbāk\
baked|\ˈbāk\
baker|\ˈbā-kər\
bakeries|\ˈbā-k(ə-)rē\
bakers|\ˈbāk\
bakersfield|\ˈbā-kərz-ˌfēld\
bakery|\ˈbā-k(ə-)rē\
bakes|\ˈbāk\
bakeshop|\ˈbāk-ˌshäp\
bakeshops|\ˈbāk-ˌshäp\
baking|\ˈbāk\
baklava|\ˈbä-klə-ˌvä, ˌbä-klə-ˈvä\
baklavas|\ˈbä-klə-ˌvä, ˌbä-klə-ˈvä\
baksheesh|\ˈbak-ˌshēsh, bak-ˈ\
balalaika|\ˌba-lə-ˈlī-kə\
balalaikas|\ˌba-lə-ˈlī-kə\
balance|\ˈba-lən(t)s\
balanced|\ˈba-lən(t)s\
balancer|\ˈba-lən(t)-sər\
balancers|\ˈba-lən(t)-sər\
balances|\ˈba-lən(t)s\
balancing|\ˈba-lən(t)s\
balboa|\bal-ˈbō-ə\
balboas|\bal-ˈbō-ə\
balbriggan|\bal-ˈbri-gən\
balconies|\ˈbal-kə-nē\
balcony|\ˈbal-kə-nē\
bald|\ˈbȯld\
baldachin|\ˈbȯl-də-kən, ˈbal-\
baldachins|\ˈbȯl-də-kən, ˈbal-\
balded|\ˈbȯld\
balder|\ˈbȯl-dər\
balderdash|\ˈbȯl-dər-ˌdash\
baldest|\ˈbȯld\
baldhead|\ˈbȯld-ˌhed\
baldheads|\ˈbȯld-ˌhed\
baldish|\ˈbȯld\
baldly|\ˈbȯld\
baldness|\ˈbȯld\
baldpate|\ˈbȯl(d)-ˌpāt\
baldpates|\ˈbȯl(d)-ˌpāt\
baldric|\ˈbȯl-drik\
baldrics|\ˈbȯl-drik\
balds|\ˈbȯld\
bale|\ˈbāl\
baled|\ˈbāl\
baleen|\bə-ˈlēn, ˈbā-ˌlēn\
baleens|\bə-ˈlēn, ˈbā-ˌlēn\
balefire|\ˈbāl-ˌfī(-ə)r\
balefires|\ˈbāl-ˌfī(-ə)r\
baleful|\-fəl\
balefully|\-fəl\
balefulness|\-fəl\
baler|\ˈbāl\
balers|\ˈbāl\
bales|\ˈbāl\
bali|\ˈbä-lē, ˈba-\
balinese|\ˌbä-li-ˈnēz, ˌba-, -ˈnēs\
baling|\ˈbāl\
balk|\ˈbȯk sometimes ˈbȯlk\
balkans|\ˈbȯl-kənz\
balked|\ˈbȯk sometimes ˈbȯlk\
balker|\ˈbȯk sometimes ˈbȯlk\
balkers|\ˈbȯk sometimes ˈbȯlk\
balkier|\ˈbȯ-kē sometimes ˈbȯl-\
balkiest|\ˈbȯ-kē sometimes ˈbȯl-\
balkiness|\ˈbȯ-kē sometimes ˈbȯl-\
balking|\ˈbȯk sometimes ˈbȯlk\
balks|\ˈbȯk sometimes ˈbȯlk\
balky|\ˈbȯ-kē sometimes ˈbȯl-\
ball|\ˈbȯl\
ballad|\ˈba-ləd\
balladeer|\ˌba-lə-ˈdir\
balladeers|\ˌba-lə-ˈdir\
ballades|\bə-ˈläd, ba-\
balladic|\ˈba-ləd\
balladries|\ˈba-lə-drē\
balladry|\ˈba-lə-drē\
ballads|\ˈba-ləd\
ballast|\ˈba-ləst\
ballasted|\ˈba-ləst\
ballasting|\ˈba-ləst\
ballasts|\ˈba-ləst\
balled|\ˈbȯl\
baller|\ˈbȯ-lər\
ballerina|\ˌba-lə-ˈrē-nə\
ballerinas|\ˌba-lə-ˈrē-nə\
ballers|\ˈbȯ-lər\
ballet|\ˈba-ˌlā, ba-ˈ\
balletic|\ˈba-ˌlā, ba-ˈ\
balletomane|\ba-ˈle-tə-ˌmān\
balletomanes|\ba-ˈle-tə-ˌmān\
ballets|\ˈba-ˌlā, ba-ˈ\
balling|\ˈbȯl\
ballista|\bə-ˈlis-tə\
ballistae|\bə-ˈlis-tə\
ballistic|\bə-ˈlis-tik\
ballistically|\bə-ˈlis-tik\
ballistics|\bə-ˈlis-tiks\
balloon|\bə-ˈlün\
ballooned|\bə-ˈlün\
ballooning|\bə-ˈlü-niŋ\
balloonist|\-nist\
balloons|\bə-ˈlün\
ballot|\ˈba-lət\
balloted|\ˈba-lət\
balloter|\ˈba-lət\
balloters|\ˈba-lət\
balloting|\ˈba-lət\
ballots|\ˈba-lət\
ballplayer|\ˈbȯl-ˌplā-ər\
ballplayers|\ˈbȯl-ˌplā-ər\
ballpoint|\-ˌpȯint\
ballpoints|\-ˌpȯint\
ballroom|\ˈbȯl-ˌrüm, -ˌru̇m\
ballrooms|\ˈbȯl-ˌrüm, -ˌru̇m\
balls|\ˈbȯl\
bally|\ˈba-lē\
ballyhoo|\ˈba-lē-ˌhü\
ballyhooed|\ˈba-lē-ˌhü\
ballyhooing|\ˈba-lē-ˌhü\
ballyhoos|\ˈba-lē-ˌhü\
balm|\ˈbä(l)m\
balmier|\ˈbä-mē, ˈbäl-mē\
balmiest|\ˈbä-mē, ˈbäl-mē\
balmily|\ˈbä-mē, ˈbäl-mē\
balminess|\ˈbä-mē, ˈbäl-mē\
balmoral|\bal-ˈmȯr-əl, -ˈmär-\
balmorals|\bal-ˈmȯr-əl, -ˈmär-\
balms|\ˈbä(l)m\
balmy|\ˈbä-mē, ˈbäl-mē\
baloney|\bə-ˈlō-nē\
baloneys|\bə-ˈlō-nē\
balsa|\ˈbȯl-sə\
balsam|\ˈbȯl-səm\
balsamic|\bȯl-ˈsa-mik, -ˈsä-\
balsams|\ˈbȯl-səm\
balsas|\ˈbȯl-səs, ˈbäl-säs\
baltic|\ˈbȯl-tik\
baltimore|\ˈbȯl-tə-ˌmȯr, -mər\
baluster|\ˈba-lə-stər\
balusters|\ˈba-lə-stər\
balustrade|\ˈba-lə-ˌstrād\
balustrades|\ˈba-lə-ˌstrād\
bambino|\bam-ˈbē-(ˌ)nō, bäm-\
bambinos|\bam-ˈbē-(ˌ)nō, bäm-\
bamboo|\(ˌ)bam-ˈbü, ˈbam-ˌ\
bamboos|\(ˌ)bam-ˈbü, ˈbam-ˌ\
bamboozle|\bam-ˈbü-zəl\
bamboozled|\bam-ˈbü-zəl\
bamboozles|\bam-ˈbü-zəl\
bamboozling|\bam-ˈbü-zəl\
ban|\ˈban\
banal|\bə-ˈnal, ba-, -ˈnäl; bā-ˈnal; ˈbā-nəl\
banalities|\bə-ˈna-lə-tē, bā-, also ba-\
banality|\bə-ˈna-lə-tē, bā-, also ba-\
banally|\bə-ˈnal, ba-, -ˈnäl; bā-ˈnal; ˈbā-nəl\
banana|\bə-ˈna-nə, especially British -ˈnä-\
bananas|\bə-ˈna-nəz, especially British -ˈnä-\
band|\ˈband\
bandage|\ˈban-dij\
bandaged|\ˈban-dij\
bandages|\ˈban-dij\
bandaging|\ˈban-dij\
bandana|\ban-ˈda-nə\
bandanas|\ban-ˈda-nə\
bandanna|\ban-ˈda-nə\
bandannas|\ban-ˈda-nə\
bandbox|\ˈban(d)-ˌbäks\
bandboxes|\ˈban(d)-ˌbäks\
bandeau|\ban-ˈdō\
bandeaus|\ban-ˈdō\
bandeaux|\ban-ˈdō\
banded|\ˈban-dəd\
bander|\ˈband\
banderole|\ˈban-də-ˌrōl\
banderoles|\ˈban-də-ˌrōl\
banders|\ˈband\
bandicoot|\ˈban-di-ˌküt\
bandicoots|\ˈban-di-ˌküt\
bandied|\ˈban-dē\
banding|\ˈband\
bandit|\ˈban-dət\
banditries|\ˈban-dət\
banditry|\ˈban-dət\
bandits|\ˈban-dət\
banditti|\ˈban-dət\
bandmaster|\ˈban(d)-ˌmas-tər\
bandmasters|\ˈban(d)-ˌmas-tər\
bandoleer|\ˌban-də-ˈlir\
bandoleers|\ˌban-də-ˈlir\
bands|\ˈband\
bandsman|\ˈban(d)z-mən\
bandsmen|\ˈban(d)z-mən\
bandstand|\ˈban(d)-ˌstand\
bandstands|\ˈban(d)-ˌstand\
bandwagon|\ˈband-ˌwa-gən\
bandwagons|\ˈband-ˌwa-gən\
bandwidth|\ˈband-ˌwidth\
bandwidths|\ˈband-ˌwidth\
bandy|\ˈban-dē\
bandying|\ˈban-dē\
bane|\ˈbān\
baned|\ˈbān\
baneful|\ˈbān-fəl\
banes|\ˈbān\
bang|\ˈbaŋ\
banged|\ˈbaŋ\
banger|\ˈbaŋ-ər\
bangers|\ˈbaŋ-ər\
banging|\ˈbaŋ\
bangkok|\ˈbaŋ-ˌkäk, baŋ-ˈ\
bangkoks|\ˈbaŋ-ˌkäk, baŋ-ˈ\
bangle|\ˈbaŋ-gəl\
bangles|\ˈbaŋ-gəl\
bangs|\ˈbaŋ\
bangtail|\ˈbaŋ-ˌtāl\
bangtails|\ˈbaŋ-ˌtāl\
banish|\ˈba-nish\
banished|\ˈba-nish\
banisher|\ˈba-nish\
banishers|\ˈba-nish\
banishes|\ˈba-nish\
banishing|\ˈba-nish\
banishment|\ˈba-nish\
banishments|\ˈba-nish\
banister|\ˈba-nəs-tər\
banisters|\ˈba-nəs-tər\
banjo|\ˈban-(ˌ)jō\
banjoes|\ˈban-(ˌ)jō\
banjoist|\ˈban-(ˌ)jō\
banjoists|\ˈban-(ˌ)jō\
banjos|\ˈban-(ˌ)jō\
bank|\ˈbaŋk\
bankable|\ˈbaŋ-kə-bəl\
bankbook|\ˈbaŋk-ˌbu̇k\
bankbooks|\ˈbaŋk-ˌbu̇k\
banked|\ˈbaŋk\
banker|\ˈbaŋ-kər\
banknote|\ˈbaŋk-ˌnōt\
banknotes|\ˈbaŋk-ˌnōt\
bankroll|\ˈbaŋk-ˌrōl\
bankrolled|\ˈbaŋk-ˌrōl\
bankrolling|\ˈbaŋk-ˌrōl\
bankrolls|\ˈbaŋk-ˌrōl\
bankrupt|\ˈbaŋk-(ˌ)rəpt\
bankruptcies|\ˈbaŋk-(ˌ)rəp(t)-sē\
bankruptcy|\ˈbaŋk-(ˌ)rəp(t)-sē\
bankrupted|\ˈbaŋk-(ˌ)rəpt\
bankrupting|\ˈbaŋk-(ˌ)rəpt\
bankrupts|\ˈbaŋk-(ˌ)rəpt\
banks|\ˈbaŋ(k)s\
bankside|\ˈbaŋk-ˌsīd\
banksides|\ˈbaŋk-ˌsīd\
banned|\ˈban\
banner|\ˈba-nər\
banners|\ˈba-nər\
banning|\ˈba-niŋ\
bannister|\ˈba-nəs-tər\
bannock|\ˈba-nək\
bannocks|\ˈba-nək\
banns|\ˈbanz\
banquet|\ˈbaŋ-kwət, ˈban- also -ˌkwet\
banqueted|\ˈbaŋ-kwət, ˈban- also -ˌkwet\
banqueter|\ˈbaŋ-kwət, ˈban- also -ˌkwet\
banqueters|\ˈbaŋ-kwət, ˈban- also -ˌkwet\
banqueting|\ˈbaŋ-kwət, ˈban- also -ˌkwet\
banquets|\ˈbaŋ-kwət, ˈban- also -ˌkwet\
banquette|\baŋ-ˈket, ban-, 1b is also ˈbaŋ-kət\
banquettes|\baŋ-ˈket, ban-, 1b is also ˈbaŋ-kət\
bans|\ˈban\
banshee|\ˈban-(ˌ)shē, ban-ˈ\
banshees|\ˈban-(ˌ)shē, ban-ˈ\
bantam|\ˈban-təm\
bantams|\ˈban-təm\
bantamweight|\-ˌwāt\
bantamweights|\-ˌwāt\
banter|\ˈban-tər\
bantered|\ˈban-tər\
banterer|\ˈban-tər\
banterers|\ˈban-tər\
bantering|\ˈban-tər\
banteringly|\ˈban-tər\
banters|\ˈban-tər\
banting|\ˈban-tiŋ\
bantling|\ˈbant-liŋ\
bantu|\ˈban-(ˌ)tü, ˈbän-\
bantus|\ˈban-(ˌ)tü, ˈbän-\
banyan|\ˈban-yən, -ˌyan\
banyans|\ˈban-yən, -ˌyan\
banzai|\(ˌ)bän-ˈzī, ˈbän-ˌ\
banzais|\(ˌ)bän-ˈzī, ˈbän-ˌ\
baobab|\ˈbau̇-ˌbab, ˈbā-ə-\
baobabs|\ˈbau̇-ˌbab, ˈbā-ə-\
baptise|\bap-ˈtīz, ˈbap-ˌ, especially Southern bab- or ˈbab-\
baptised|\bap-ˈtīz, ˈbap-ˌ, especially Southern bab- or ˈbab-\
baptises|\bap-ˈtīz, ˈbap-ˌ, especially Southern bab- or ˈbab-\
baptism|\ˈbap-ˌti-zəm, especially Southern ˈbab-\
baptismal|\ˈbap-ˌti-zəm, especially Southern ˈbab-\
baptismally|\ˈbap-ˌti-zəm, especially Southern ˈbab-\
baptisms|\ˈbap-ˌti-zəm, especially Southern ˈbab-\
baptist|\ˈbap-tist, especially Southern ˈbab- also ˈbab-dist\
baptisteries|\ˈbap-tə-strē, especially Southern ˈbab-\
baptistery|\ˈbap-tə-strē, especially Southern ˈbab-\
baptists|\ˈbap-tist, especially Southern ˈbab- also ˈbab-dist\
baptize|\bap-ˈtīz, ˈbap-ˌ, especially Southern bab- or ˈbab-\
baptized|\bap-ˈtīz, ˈbap-ˌ, especially Southern bab- or ˈbab-\
baptizer|\bap-ˈtīz, ˈbap-ˌ, especially Southern bab- or ˈbab-\
baptizers|\bap-ˈtīz, ˈbap-ˌ, especially Southern bab- or ˈbab-\
baptizes|\bap-ˈtīz, ˈbap-ˌ, especially Southern bab- or ˈbab-\
baptizing|\bap-ˈtīz, ˈbap-ˌ, especially Southern bab- or ˈbab-\
bar|\ˈbär\
barb|\ˈbärb\
barbados|\bär-ˈbā-(ˌ)dōs, -dəs, -(ˌ)dōz\
barbarian|\bär-ˈber-ē-ən\
barbarianism|\bär-ˈber-ē-ən\
barbarians|\bär-ˈber-ē-ən\
barbaric|\bär-ˈber-ik, -ˈba-rik\
barbarically|\bär-ˈber-ik, -ˈba-rik\
barbarism|\ˈbär-bə-ˌri-zəm\
barbarisms|\ˈbär-bə-ˌri-zəm\
barbarities|\bär-ˈber-ə-tē, -ˈba-rə-\
barbarity|\bär-ˈber-ə-tē, -ˈba-rə-\
barbarization|\ˈbär-bə-ˌrīz\
barbarize|\ˈbär-bə-ˌrīz\
barbarized|\ˈbär-bə-ˌrīz\
barbarizes|\ˈbär-bə-ˌrīz\
barbarizing|\ˈbär-bə-ˌrīz\
barbarous|\ˈbär-b(ə-)rəs\
barbarously|\ˈbär-b(ə-)rəs\
barbarousness|\ˈbär-b(ə-)rəs\
barbecue|\ˈbär-bi-ˌkyü\
barbecued|\ˈbär-bi-ˌkyü\
barbecues|\ˈbär-bi-ˌkyü\
barbecuing|\ˈbär-bi-ˌkyü\
barbed|\ˈbärbd\
barbel|\ˈbär-bəl\
barbell|\ˈbär-ˌbel\
barbells|\ˈbär-ˌbel\
barbels|\ˈbär-bəl\
barber|\ˈbär-bər\
barbered|\ˈbär-bər\
barbering|\ˈbär-bər\
barberries|\ˈbär-ˌber-ē, -ˌbe-rē\
barberry|\ˈbär-ˌber-ē, -ˌbe-rē\
barbers|\ˈbär-bər\
barbershop|\ˈbär-bər-ˌshäp\
barbershops|\ˈbär-bər-ˌshäp\
barbets|\ˈbär-bət\
barbican|\ˈbär-bi-kən\
barbicans|\ˈbär-bi-kən\
barbing|\ˈbärb\
barbital|\ˈbär-bə-ˌtȯl\
barbiturate|\bär-ˈbi-chə-rət, -ˌrāt; ˌbär-bə-ˈtyu̇r-ət, -ˈtu̇r-, -ˌāt; ÷bär-ˈbi-chə-wət\
barbiturates|\bär-ˈbi-chə-rət, -ˌrāt; ˌbär-bə-ˈtyu̇r-ət, -ˈtu̇r-, -ˌāt; ÷bär-ˈbi-chə-wət\
barbituric|\ˌbär-bə-ˈt(y)u̇r-ik-\
barbless|\ˈbärb\
barbs|\ˈbärb\
barbwire|\ˈbärb-ˈwī(-ə)r, ˈbäb-\
barbwires|\ˈbärb-ˈwī(-ə)r, ˈbäb-\
barcarole|\ˈbär-kə-ˌrōl\
barcaroles|\ˈbär-kə-ˌrōl\
barcelona|\ˌbär-sə-ˈlō-nə\
bard|\ˈbärd\
barded|\ˈbärd\
bardes|\ˈbärd\
bardic|\ˈbärd\
barding|\ˈbärd\
bards|\ˈbärd\
bare|\ˈber\
bareback|\-ˌbak\
bared|\ˈber\
barefaced|\ˈber-ˈfāst\
barefoot|\-ˌfu̇t\
barehanded|\ˈber-ˌhand\
bareheaded|\-ˈhe-dəd\
bareness|\ˈber\
barer|\ˈber\
bares|\ˈber\
barest|\ˈber\
barf|\ˈbärf\
barfed|\ˈbärf\
barfing|\ˈbärf\
barflies|\ˈbär-ˌflī\
barfly|\ˈbär-ˌflī\
barfs|\ˈbärf\
bargain|\ˈbär-gən\
bargained|\ˈbär-gən\
bargainer|\ˈbär-gən\
bargainers|\ˈbär-gən\
bargaining|\ˈbär-gən\
bargains|\ˈbär-gən\
barge|\ˈbärj\
barged|\ˈbärj\
bargee|\bär-ˈjē\
bargees|\bär-ˈjē\
bargeman|\ˈbärj-mən\
bargemen|\ˈbärj-mən\
barges|\ˈbärj\
barging|\ˈbärj\
barhop|\ˈbär-ˌhäp\
barhopped|\ˈbär-ˌhäp\
barhopping|\ˈbär-ˌhäp\
barhops|\ˈbär-ˌhäp\
baring|\ˈber-iŋ\
barite|\ˈber-ˌīt\
baritone|\ˈber-ə-ˌtōn, ˈba-rə-\
baritones|\ˈber-ə-ˌtōn, ˈba-rə-\
barium|\ˈber-ē-əm\
bariums|\ˈber-ē-əm\
bark|\ˈbärk\
barked|\ˈbärk\
barkeep|\ˈbär-ˌkēp\
barkeeper|\ˈbär-ˌkēp\
barkeepers|\ˈbär-ˌkēp\
barkeeps|\ˈbär-ˌkēp\
barkentine|\ˈbär-kən-ˌtēn\
barkentines|\ˈbär-kən-ˌtēn\
barker|\ˈbär-kər\
barkers|\ˈbär-kər\
barkier|\ˈbär-kē\
barking|\ˈbärk\
barkless|\ˈbärk\
barks|\ˈbärk\
barky|\ˈbär-kē\
barley|\ˈbär-lē\
barleys|\ˈbär-lē\
barlow|\ˈbär-ˌlō\
barlows|\ˈbär-ˌlō\
barmaid|\ˈbär-ˌmād\
barmaids|\ˈbär-ˌmād\
barman|\-mən\
barmen|\-mən\
barmier|\ˈbär-mē\
barmiest|\ˈbär-mē\
barmy|\ˈbär-mē\
barn|\ˈbärn\
barnacle|\ˈbär-ni-kəl\
barnacled|\ˈbär-ni-kəl\
barnacles|\ˈbär-ni-kəl\
barnier|\ˈbärn\
barns|\ˈbärn\
barnstorm|\ˈbärn-ˌstȯrm\
barnstormed|\ˈbärn-ˌstȯrm\
barnstormer|\ˈbärn-ˌstȯrm\
barnstormers|\ˈbärn-ˌstȯrm\
barnstorming|\ˈbärn-ˌstȯrm\
barnstorms|\ˈbärn-ˌstȯrm\
barny|\ˈbärn\
barnyard|\-ˌyärd\
barnyards|\-ˌyärd\
barogram|\ˈber-ə-ˌgram, ˈba-rə-\
barograms|\ˈber-ə-ˌgram, ˈba-rə-\
barograph|\-ˌgraf\
barographic|\-ˌgraf\
barographs|\-ˌgraf\
barometer|\bə-ˈrä-mə-tər\
barometers|\bə-ˈrä-mə-tər\
barometric|\bə-ˈrä-mə-tər\
barometrically|\bə-ˈrä-mə-tər\
barometry|\bə-ˈrä-mə-tər\
baron|\ˈber-ən, ˈba-rən\
baronage|\-ə-nij\
baronages|\-ə-nij\
baroness|\ˈber-ə-nəs, ˈba-rə-, -ˌnes, US also ˌber-ə-ˈnes, ˌba-rə-\
baronesses|\ˈber-ə-nəs, ˈba-rə-, -ˌnes, US also ˌber-ə-ˈnes, ˌba-rə-\
baronet|\ˈber-ə-nət, ˈba-rə-, US also ˌber-ə-ˈnet, ˌba-rə-\
baronetcies|\ˈber-ə-nət-sē, ˈba-rə-; ˌber-ə-ˈnet-sē, ˌba-rə-\
baronetcy|\ˈber-ə-nət-sē, ˈba-rə-; ˌber-ə-ˈnet-sē, ˌba-rə-\
baronets|\ˈber-ə-nət, ˈba-rə-, US also ˌber-ə-ˈnet, ˌba-rə-\
baronial|\bə-ˈrō-nē-əl\
baronies|\ˈber-ə-nē, ˈba-rə-\
barons|\ˈber-ən, ˈba-rən\
barony|\ˈber-ə-nē, ˈba-rə-\
baroque|\bə-ˈrōk, ba-, -ˈräk, -ˈrȯk\
baroques|\bə-ˈrōk, ba-, -ˈräk, -ˈrȯk\
barouche|\bə-ˈrüsh\
barouches|\bə-ˈrüsh\
barquentine|\ˈbär-kən-ˌtēn\
barques|\ˈbärk\
barrack|\ˈber-ək, -ik; ˈba-rək, -rik\
barracked|\ˈber-ək, -ik; ˈba-rək, -rik\
barracking|\ˈber-ək, -ik; ˈba-rək, -rik\
barracks|\ˈber-ək, -ik; ˈba-rək, -rik\
barracuda|\ˌber-ə-ˈkü-də, ˌba-rə-\
